측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870213,송파구 ,0.033       ,0.005    ,1.8         ,          ,         ,
19870213,용산구 ,0.019       ,0        ,2.7         ,0.097     ,         ,
19870214,광진구 ,0.006       ,0.005    ,1.6         ,0.06      ,         ,
19870214,구로구 ,0.007       ,0.003    ,1.5         ,0.052     ,         ,
19870214,도봉구 ,0.018       ,0.024    ,2.2         ,0.05      ,         ,
19870214,서대문구,0.032       ,         ,2.5         ,0.054     ,         ,
19870214,서초구 ,0.022       ,0.058    ,1.1         ,0.037     ,         ,
19870214,성동구 ,0.032       ,0.038    ,3.2         ,0.111     ,         ,
19870214,송파구 ,0.024       ,0.019    ,1.1         ,          ,         ,
19870214,용산구 ,0.015       ,0.017    ,1.4         ,0.043     ,         ,
19870215,광진구 ,0.006       ,0.004    ,1.8         ,0.087     ,         ,
19870215,구로구 ,0.007       ,0.004    ,0.9         ,0.048     ,         ,
19870215,도봉구 ,0.022       ,0.024    ,2.6         ,0.064     ,         ,
19870215,서대문구,0.075       ,         ,2.9         ,0.055     ,         ,
19870215,서초구 ,0.028       ,0.048    ,1.4         ,0.068     ,         ,
19870215,성동구 ,0.033       ,0.036    ,3.3         ,0.128     ,         ,
19870215,송파구 ,0.026       ,0.02     ,1.5         ,          ,         ,
19870215,용산구 ,0.015       ,0.011    ,2.8         ,0.049     ,         ,
